co_seq_unidade_saude,co_seq_distrito,co_seq_tp_logradouro,co_seq_municipio,no_unidade_saude,co_ref_unidade,nu_cnes,no_logradouro,nu_logradouro,cmp_nr_logradouro,no_bairro,nu_cep,nu_telefone,nu_fax,ds_email,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro,nu_telefone_auxiliar
370,,113,501,U.B.S VILA SÃO JOSÉ,00770-01,,NOVA VIDA,S/N,,,65600000,(  ),(  ),,20200320121815,hiago,20190110113921,carliane,(  )
371,,113,501,U.B.S CALDEIRÕES,00771-01,,CALDEIRÕES,661,,,65600000,(  ),(  ),,20200320121831,hiago,20190110114127,carliane,(  )
372,,54,501,U.B.S CAXIRIMBU (1ºDISTRITO)  ,00772-01,,LOCALIDADE CAXIRIMBU,S/N,,,65600000,(  ),(  ),,20200320121850,hiago,20190110114501,carliane,(  )
373,,113,501,U.B.S SAÚDE PEQUIZEIRO,00773-01,,NOSSA SENHORA DE FÁTIMA,210,,,65600000,(  ),(  ),,20200320121907,hiago,20190110114804,carliane,(  )
368,,36,635,C.S. TURU II,00241-01,,Sete,S/N,,Turu,65065760,(98)991362503,(  ),CENTROSAUDETURU@GMAIL.COM,20241010134806,thalyta,20181231122541,carliane,(  )
374,,113,635,C.S. JANAINA,00672-01,,Cafeteira,S/N,,Vila Janaína,65058830,(98)984231371,(  ),C.S.JANAINA12@GMAIL.COM,20130109013624,thalyta,20190116092433,carliane,(  )
337,,113,660,HOSP.MUNC.VALDIR MELO,00267-01,2464454,SOL,S/N,,CENTRO,65530000,(  ),(  ),,20240304140214,thalyta,20170908095401,Implantação,(  )
377,,113,666,U.B.S. RAIMUNDA PAVÃO,00781-01,,PAZ ,S/N ,,JOSIAS,65365000,(98)999084674,(  ),SHIRLEY.SANTOS83@HOTMAIL.COM ,20210523084930,yago,20190116110601,carliane,(98)981792327
378,,113,666,U.B.S. JOSE BISPO DOS SANTOS,00782-01,,SAO JOAO ,S/N,,BOA ESPERANCA,65365000,(98)982158511,(  ),SHEYLANIVEA@HOTMAIL.COM,20210523084943,yago,20190116110737,carliane,(98)982033198
379,,113,666,U.B.S. IGARAPÉ GRANDE,00783-01,,GRANDE,S/N,POV. IGARAPÉ GRANDE,Z. RURAL,65365000,(98)981601617,(  ),PAULAASSIS5@HOTMAIL.COM,20210523085000,yago,20190116111112,carliane,(  )
380,,113,666,U.B.S. GILBERTO VIEIRA BASTOS,00784-01,,GRANDE,S/N,,PARAISO DO SOBRAL,65365000,(98)981233922,(  ),,20210523085015,yago,20190116111243,carliane,(  )
381,,36,666,U.B.S. EDILSON MONTEIRO RODRIGUES,00785-01,, BR 316 KM 181,S/N ,TRÊS SATUBAS,,65365000,(98)981448156,(  ),CHIMENDESROSILEIA@HOTMAIL.COM,20210523085031,yago,20190116111629,carliane,(  )
382,,113,666,U.B.S. AURICELIA DE SOUSA N. MACHADO,00786-01,,SOL,S/N,,CENTRO,65365000,(98)981821976,(  ),OLIMPIANV10@HOTMAIL.COM,20210523085049,yago,20190116111825,carliane,(  )
383,,113,666,U.B.S. EUDINEIA ALVES VERAS CUTRIM,00787-01,,CAJARI,S/N,,VILA BARROSO,65365000,(98)991046963,(  ),,20210523085106,yago,20190116111936,carliane,(  )
384,,113,666,U.B.S. VILA NOVA,00788-01,,AMORIM,677,,VILA NOVA,65365000,(98)981334734,(  ),FRANCILDA021@GMAIL.COM,20210523085122,yago,20190116112119,carliane,(  )
386,,54,666,U.B.S. MARIA ALVES COSTA DO NASCIMENTO,00790-01,,POV. NOVA CONQUISTA,S/N,,Z. RURAL,65365000,(98)981075415,(  ),RAISSAMOURA2011@HOTMAIL.COM,20210523085154,yago,20190116112542,carliane,(  )
387,,113,666,U.B.S. VEREADOR BENEDITO B. AMORIM,00791-01,,ASSEMBLEIA ,S/N,,EBENEZIA,65365000,(98)982842926,(  ),SAMPAIOTIAGO026@HOTMAIL.COM,20210523085208,yago,20190116112721,carliane,(  )
388,,54,666,U.B.S. QUADRA QUEIROZ,00792-01,,POV. QUADRA QUEIROZ ,S/N,,Z. RURAL,65365000,(98)991488125,(  ),CHARLES_09@HOTMAIL.COM,20210523085225,yago,20190116112951,carliane,(  )
389,,113,666,U.B.S. BENEDITO DA LUZ,00793-01,,GUARANI ,S/N,,SAO FRANCISCO,65365000,(98)981449746,(  ),PEDRORIBEIRO_CHAGAS@HOTMAIL.COM,20210523085242,yago,20190116113124,carliane,(  )
375,,113,635,U.B.S. MACHADO DE ASSIS,00190-01,,Machado de Assis,S/N,,Liberdade,65035380,(  ),(  ),AVELAR_REGINA@HOTMAIL.COM,20220824083814,yago,20190116104436,carliane,(  )
362,,113,626,U.B.S. MAGNALDO FERNANDES ,00746-01,,JUSTIANIANO SOARES ,S/N,,CENTRO,65929000,(99)991940636,(  ),,20220111094222,yago,20181211075342,carliane,(  )
363,,54,626,U.B.S. DR PINTO,00747-01,,RUA BOM JESUS,S/N,Z. RURAL,POVOADO TRECHO SECO,65929000,(99)999867773,(  ),,20220111094246,yago,20181211080043,carliane,(  )
364,,113,626,U.B.S. SEBASTIAO MATIAS,00748-01,,PADRE CICERO,S/N,,CENTRO,65929000,(99)988376344,(  ),,20220111094306,yago,20181211080758,carliane,(  )
350,,0,466,U.B.S. PEDRO FERREIRA DE ARAUJO,00760-01,,VILA NONATO,,,ZONA RURAL,65945000,(  ),(  ),,20220510084747,yago,20181116103849,julyana,(  )
351,,0,466,U.B.S. VALDENOR PEREIRA DOS SANTOS,00761-01,,"POV CALUMBI, RUA DA IGREJA EVANGELIA",S/N,,ZONA RURAL,65945000,(  ),(  ),,20220510084803,yago,20181116103950,julyana,(  )
352,,0,466,U.B.S. FRANCISCO GUARIM ,00763-01,,AV PRINCIPAL ,S/N,,,65945000,(  ),(  ),,20220510084836,yago,20181116104513,julyana,(  )
354,,0,466,U.B.S. CICERO MENEZES DE SOUSA,00765-01,,POV COCAL DOS CABRITOS,S/N,,,65945000,(  ),(  ),,20220510084908,yago,20181116104802,julyana,(  )
349,,0,466,U.B.S. MARIA ICLEIA BENICIO VILARINS,00766-01,,R. DO COLEGIO,S/N,,POV. SANTA LUZIA/ ZONA RURAL,65945000,(  ),(  ),,20220510084924,yago,20181116103745,julyana,(  )
353,,36,466,U.B.S. POLO INDIGENA ,00767-01,,DEPUTADO ULISSES GUIMARAES,S/N,,,65945000,(  ),(  ),,20220510085023,yago,20181116104612,julyana,(  )
367,,36,635,U.M. DO BEQUIMAO,00077-01,,Contorno,S/N,,BEQUIMAO,65061670,(98)32128701,(  ),,20220824083148,yago,20181219113807,carliane,(  )
366,,113,635,CENTRO DE SAÚDE GAPARA,00625-01,,Projetada,S/N,,Gapara,65083550,(98)32423656,(  ),,20240925090527,thalyta,20181217105404,carliane,(  )
260,,113,622,HOSP M FELIPE JORGE,00164-01,2451565,MA 034 KM 03,S/N,,ABREU (CENTRO),     ,(  ),(  ),,20190125084243,hiago,20170908095401,Implantação,(  )
395,,113,622,U.B.S. FORMOSA,00801-01,,RUA PRINCIPAL,01,,POVOADO FORMOSA ,65550000,(98) 34771230,(  ),,20190125085335,hiago,20190125085335,hiago,(  )
396,,113,622,U.B.S. MAMUÍ,00802-01,,CONJUNTO NOVO,01,,MAMUI,65550000,(  ),(  ),LETICIAASSAD@HOTMMAIL.COM,20190125090201,hiago,20190125090201,hiago,(  )
397,,113,622,U.B.S. SAO RAIMUNDO,00803-01,,RUA PRINCIPAL,01,,POVOADO SÃO RAIMUNDO,65550000,(  ),(  ),GABYCOSTA88@HOTMAIL.COM,20190125090706,hiago,20190125090706,hiago,(  )
398,,113,622,U.B.S. DR. EDENIR FERREIRA DE SOUSA,00804-01,,RUA PRINCIPAL,01,,POVOADO CURRAIS,65550000,(98)981910944,(  ),LIVIA_SILVA1994@HOTMAIL.COM,20190125091055,hiago,20190125091055,hiago,(98)996096765
399,,36,622,U.B.S. BERNARDO COELHO DE ALMEIDA,00805-01,,CUSTODIO DE ALMEIDA LIMA,01,,PLANALTO,65550000,(86)999031722,(  ),TEONILIASANTOS2@GMAIL.COM,20190125092048,hiago,20190125092048,hiago,(98)989131636
400,,113,622,U.B.S. JOSE DAMASCENO,00806-01,,RUA PRINCIPAL,01,,POVOADO COQUEIRO,65550000,(86)998015930,(  ),SAMARALCOSTA@HOTMAIL.COM,20190125095235,hiago,20190125095235,hiago,(98)982304660
401,,133,622,U.B.S. MAMORANA,00807-01,,RUA PRINCIPAL,01,,POV. MAMORANA,65550000,(98)984824577,(  ),BRUNALETICIE@HOTMAIL.COM,20190125095557,hiago,20190125095557,hiago,(  )
402,,113,622,U.B.S. FAVEIRA,00808-01,,RUA BERNARDO LIMA,01,,CENTRO,65550000,(86)999690691,(  ),LARISSAARAGAO3@HOTMAIL.COM,20190125100337,hiago,20190125100337,hiago,(  )
403,,113,622,U.B.S. NILZA COELHO LIMA,00809-01,,RUA ALUIZIO DE AZEVEDO,01,,CENTRO,65550000,(  ),(  ),,20190125100730,hiago,20190125100730,hiago,(  )
133,,113,533,HOSP. SANTA NEUSA,00173-01,2462729,HELTON NUNES,784,,RODOVIARIA,65940000,(99)35326322,(  ),HSNEUSA@HOTMAIL.COM,20190125101709,hiago,20170908095401,Implantação,(99)992108264
404,,113,572,CENTO DE SAUDE SANTA ANA,00810-01,,RUA DR PAULO RAMOS,01,,CENTRO,65160000,(98)988007485,(  ),VETA.MENEZES@GMAIL.COM,20190125102336,hiago,20190125102336,hiago,(98)987794251
482,,36,501,U.B.S. EUGENIO COUTINHO,00886-01,7926863,"MATÕES, QD. N,",20,,EUGENIO COUTINHO,65604560,(  ),(  ),,20190218120528,hiago,20190218120528,hiago,(  )
405,,124,500,U.B.S. FRANCISCO PLACIDO DE SOUSA,00811-01,,01 DE JANEIRO,05,,SÃO JOSE,65295000,(98)984264889,(  ),AB.CARUTAPERA@YAHOO.COM,20190125103530,hiago,20190125103530,hiago,(  )
406,,113,500,U.B.S. ROSA ALMEIDA DE ARAUJO,00756-01,,R. 01 DE MAIO,01,,VILA DURADOURO,65295000,(98)984788084,(  ),AB.CARUTAPERA@YAHOO.COM,20190125103847,hiago,20190125103847,hiago,(  )
73,,113,500,UBS MARIA RIBEIRO LOPES,00739-01,,CAJUEIRO,S/N,,SANTA RITA,65295000,(98)984799300,(  ),AB.CARUTAPERA@YAHOO.COM,20190125104454,hiago,20170908095401,Implantação,(  )
71,,113,500,C.S. SUZETE DE OLIVEIRA BORGES,00479-01,,PADRE MARIO BACCA,S/N,,CENTRO,65295000,(98)999067881,(  ),AB.CARUTAPERA@YAHOO.COM,20190125104828,hiago,20170908095401,Implantação,(  )
407,,113,500,U.B.S. SAO LOURENCO,00812-01,,RUA PRINCIPAL,01,,POVOADO SÃO LOURENÇO,65295000,(98)984497756,(  ),AB.CARUTAPERA@YAHOO.COM,20190125105136,hiago,20190125105136,hiago,(  )
408,,113,500,U.B.S. MANOEL HENRIQUE DE QUEIROZ,00813-01,,MA,308,,POVOADO LIVRAMENTO,65295000,(98)984836801,(  ),AB.CARUTAPERA@YAHOO.COM,20190125105528,hiago,20190125105528,hiago,(  )
409,,113,500,U.B.S. MOARCI BRAGA,00814-01,,AV. BEIRA RIO,S/N,,POV. DE MANAUS DA BEIRA,65295000,(98)984713642,(  ),AB.CARUTAPERA@YAHOO.COM,20190125105828,hiago,20190125105828,hiago,(  )
410,,113,601,C.S. SAUDE RAIMUNDO JURUCA,00815-01,,RUA DO COMERCIO,S/N,,CENTRO,65279000,(98)987141697,(  ),MARYNATAPINHEIRO@HOTMAIL.COM,20190125115007,hiago,20190125115007,hiago,(  )
411,,113,585,DEPARTAMENTO DE VIG. EPIDIMIOLOGICA,00816-01,,AV. DEMETRIO RIBEIRO,S/N,,CENTRO,65585000,(98)987891712,(  ),SEMUSPN@GMAIL.COM,20190125115708,hiago,20190125115708,hiago,(98)988618851
269,,113,630,UBS.LAURO P.DA SILVA,00646-01,7863225,DOMINGOS GONZAGA,S/N,,SÃO SEBASTIÃO,65973000,(99)981954057,(  ),IDELMAROLIVEIRA930@GMAIL.COM,20190125120324,hiago,20170908095401,Implantação,(99)984486029
320,,113,648,HOSP.MUN.F.A.BERETTA,00432-01,2646595,ANA GOMES VIANA,S/N,,CENTRO,65925000,(99)981750102,(  ),,20190125122205,hiago,20170908095401,Implantação,(  )
413,,113,505,U.B.S. CAMILO DA SILVA,00818-01,,RUA DO HOSPITAL,S/N,,CHEGA TUDO,65299000,(98)981614785,(  ),FLAVIASIMOES91@GMAIL.COM,20190125122941,hiago,20190125122941,hiago,(  )
414,,113,505,U.B.S. DO LIMÃO,00819-01,,RUA DO COMERCIO,S/N,,POV. LIMÃO,65299000,(98)985391619,(  ),,20190125123259,hiago,20190125123259,hiago,(  )
176,,113,559,U.B.S. SAO FRANCISCO,00661-01,6064647,OSVALDO CRUZ,S/N,,CENTRO,65289000,(98)984313311,(  ),TALPALMEIRA@HOTMAIL.COM,20190125124540,hiago,20170908095401,Implantação,(  )
175,,113,559,U.B.S. CIDADE NOVA,00706-01,5435552,SÃO PEDRO ,247,,CENTRO,65289000,(98)984416331,(  ),KATY.ALS@HOTMAIL.COM,20190125124817,hiago,20170908095401,Implantação,(98)984250007
415,,113,559,U.B.S. MARACACUME I,00820-01,,RUA NOVA BETEL,S/N,,CENTRO,65289000,(98)985189921,(  ),,20190125125744,hiago,20190125125744,hiago,(98)985136660
416,,113,559,U.B.S. MARACACUME II,00821-01,,RUA LERMÃO DIAS,S/N,,CENTRO,65289000,(98)984053005,(  ),THAIANECARNEIRO@HOTMAIL.COM,20190125130146,hiago,20190125130146,hiago,(98)984455179
418,,113,559,U.B.S. BEIRA RIO,00823-01,,RUA. DOM JOÃO VI,S/N,,CENTRO,65289000,(98)988054509,(  ),JULIANETO16@GMAIL.COM,20190125130724,hiago,20190125130724,hiago,(  )
41,,113,482,POSTO DE SAUDE VALDEMAR OLIVEIRA,00495-01,2464969,ROSEANA SARNEY,S/N,,CENTRO,65292000,(98)985301900,(  ),,20190125131948,hiago,20170908095401,Implantação,(  )
419,,113,513,U.B.S. CURURUPU I E II,00824-01,,GONÇALVES DIAS,S/N,,BAIRRO DE FATIMA,65268000,(98)984480229,(  ),LUCIASFREITAS@LIVE.COM,20190125133229,hiago,20190125133229,hiago,(  )
420,,0,513,U.B.S. BARREIROS ,00825-01,,R. GENARAL OZORIO,S/N,,SÃO BENEDITO,65268000,(98)984442030,(  ),ANDREZADIAS74@GMAIL.COM,20190125133428,hiago,20190125133428,hiago,(  )
390,,113,666,U.B.S. JOSE GOMES SILVESTRE,00794-01,,SAO LUIS,S/N,,AMORIM,65365000,(98)982318400,(  ),LEUDEBRANDAO@HOTMAIL.COM,20210523085303,yago,20190116113302,carliane,(  )
391,,113,666,U.B.S. MARIA ROLIM,00795-01,,MANOEL ANDRADE ,80,,SANTA TEREZINHA,65365000,(98)983038484,(  ),VIVIANELEMOS24101989@GMAIL.COM,20210523085321,yago,20190116113440,carliane,(  )
392,,113,666,U.B.S. EDLA DE ALMEIDA COSTA,00796-01,,PAXIÚBA,S/N,,CENTRO,65365000,(98)981465135,(  ),GILCILENEMARQUES@GMAIL.COM,20210523085339,yago,20190116113612,carliane,(  )
417,,113,559,U.B.S. CAJUEIRO,00822-01,,RUA NOVA ESPERANÇA,S/N,,POV. CAJUEIRO,65289000,(98)984021881,(  ),,20230420083809,yago,20190125130441,hiago,(  )
394,,113,635,U. S. F. SÃO FRANCISCO,00800-01,,das Paparaubas,,"QD. 13, LT. 31",Jardim São Francisco,65076000,(  ),(  ),,20240603084447,thalyta,20190124134030,hiago,(  )
421,,0,513,U.B.S. AREIA BRANCA,00826-01,,RODOVIARIA GOVERNADOR ANTONIO DINO,S/N,,AREIA BRANCA,65268000,(98)84442030,(  ),ANDREZADIAS74@GMAIL.COM,20190125133700,hiago,20190125133700,hiago,(  )
422,,0,513,U.B.S. COMUNIDADE QUILOMBOLA ALIANÇA,00827-01,,R. PRINCIPAL,00,,POV ALIANÇA,65268000,(98)981884220,(  ),LILIANCPU@GMAIL.COM,20190125133926,hiago,20190125133926,hiago,(  )
423,,0,513,U.B.S. AQUILES LISBOA,00828-01,,R. PRNCIPAL,00,,POV. AQUILES LISBOA,65268000,(98)984556034,(  ),GABRYELLABREU19@HOTMAIL.COM,20190125134150,hiago,20190125134150,hiago,(  )
424,,0,513,U.B.S. TAPERA DE BAIXO,00829-01,,R. PRINCIPAL,00,,POV. TAPERA DE BAIXO,65216800,(98)984011232,(  ),ADRIANAASOARES@HOTMAIL.COM,20190125134355,hiago,20190125134355,hiago,(  )
425,,0,513,U.B.S. MARACUJATIUA,00830-01,,R. PRINCIPAL,00,,PRAIA MARACUJATIUA,65268000,(98)998131930,(  ),SCARLIANY728@GMAIL.COM,20190125134626,hiago,20190125134626,hiago,(  )
426,,0,513,U.B.S. DE RUMO,00831-01,,COMUNIDADE QUILOMBOLA DE RUMO,00,,Z. RURAL,65268000,(98)984847169,(  ),GLEICE_SILVA36@HOTMAIL.COM,20190125134825,hiago,20190125134825,hiago,(  )
84,,113,508,ASSOC. PESTALLOZZI,00082-01,2449870,AFONSO PENA,83,,CENTRO,65400000,(99)988545716,(  ),LULOBAO2010@HOTMAIL.COM,20190125140007,hiago,20170908095401,Implantação,(  )
428,,0,607,U.B.S. SUMAUMA,00832-01,2645572,R. PARANA,S/N,,CENTRO,65938000,(99)981657157,(  ),,20190131121903,hiago,20190131121903,hiago,(99)981142343
429,,0,607,U.B.S. FRANCISCO MACIEL REGO,00833-01,2645564,R. PROFESSORA SONIA,S/N,,POV. LAJEADO,65938000,(99)984442437,(  ),,20190131122116,hiago,20190131122116,hiago,(99)988379814
430,,0,607,U.B.S. JOSE SKAF,00834-01,5468175,R. DO CAMPO,S/N,,POV. ARRAIAS,65938000,(  ),(  ),,20190131122307,hiago,20190131122307,hiago,(  )
433,,0,547,U.B.S VERA CRUZ,00837-01,,R. PRINCIPAL,S/N,,POV. VERA CRUZ,65294000,(98)984965899,(  ),SECRATIARIADESAUDEJUNCOMA@GMAIL.COM,20190131130419,hiago,20190131130419,hiago,(98)984965899
435,,113,652,CENTRO DE REFERENCIA EM SAUDE VICTORIANO ABDALLA ,00840-01,,URBANO SANTOS ,S/N,,CENTRO,65420000,(99)984177031,(  ),,20190131122951,carliane,20190131122951,carliane,(99)982475274
437,,36,528,CENTRO DE SAUDE PEDRO CUNHA E SILVA,00841-01,,11 DE MARCO,S/N,,,65780000,(99)984395556,(  ),SEMUSGEB@HOTMAIL.COM,20190131123417,carliane,20190131123417,carliane,(99)981571290
438,,0,625,U.B.S JOSE PIAUI,00842-01,,R. TITO MARTINS,,,CENTRO,65890000,(99)982657484,(  ),ANDREIASOARES.COM@HOTMAIL.COM,20190131133430,hiago,20190131133430,hiago,(99)984315690
440,,0,455,U.B.S. FELIPE MARCIEL LARANJEIRA,00844-01,,R. NICOLAU DINO,S/N,,CENTRO,65293000,(  ),(  ),,20190131140237,hiago,20190131134628,hiago,(  )
439,,0,455,U.B.S. ADELSON RIBEIRO DE CARVALHO,00843-01,,HUMBERTO DE CAMPOS,S/N,,Z. RURAL,65293000,(  ),(  ),,20190131140144,hiago,20190131134328,hiago,(  )
442,,0,458,U.B.S MARIA EULINA,00846-01,,R. ANTONIA GLORIA SOBRINHO,S/N,,CENTRO,65810000,(  ),(  ),,20190215090617,hiago,20190215090617,hiago,(  )
443,,0,458,HOSP. MUNICIPAL DE ALTO DO PARNAIBA,00847-01,,PRAÇA LINDOLFO LUSTOSA,S/N,,CENTRO,65810000,(  ),(  ),,20190215091042,hiago,20190215091042,hiago,(  )
445,,0,605,U.M. DR° NEMERCIA DIAS PINHEIRO,00849-01,,R. BOA ESPERANÇA ,S/N,,CENTRO,65138000,(  ),(  ),,20190215091825,hiago,20190215091825,hiago,(  )
446,,0,450,U.B.S. CIKEL,00850-01,,R. DOGIVAL PINHEIRO,100,,CENTRO,65930000,(  ),(  ),,20190215092217,hiago,20190215092217,hiago,(  )
447,,0,450,U.B.S. DR° DALVADISIO MOREIRA DOS SANTOS,00851-01,,R. RIO GRANDE ,S/N,,CENTRO,65930000,(99)988616610,(99)988282854,LUCIELMA35@HOTMAIL.COM,20190215092536,hiago,20190215092536,hiago,(99)988282854
449,,0,1001,U.B.S.F DE FREXEIRAS,00853-01,,RUA PRINCIPAL,,,POVOADO FREXEIRAS,65545000,(98)988815467,(  ),ELYSCALDAS20@HOTMAIL.COM,20190215095659,paulo,20190215095659,paulo,(  )
450,,0,564,U.B.S. LOLITA BATISTA,00854-01,3523969,POV. SANTO ANTONIO,00,,Z. RURAL,65645000,(99)981725004,(  ),,20190215100445,hiago,20190215100445,hiago,(86)988976291
451,,0,564,U.B.S. MARAJÁ,00855-01,2450607,POV. MARAJA,00,,Z. RURAL,65645000,(99)981955197,(  ),,20190215100832,hiago,20190215100832,hiago,(99)984642880
452,,0,564,U.B.S. POV. ONÇA,00856-01,3524035,POV. ONÇA,00,,Z. RURAL,65645000,(99)982344210,(  ),,20190215101646,hiago,20190215101646,hiago,(99)982344210
454,,0,564,U.B.S. BENEDITO COLAÇA VEGAS,00858-01,,POV. LARANJEIRAS,00,,Z. RURAL,65645000,(99)981937429,(  ),,20190215103708,hiago,20190215103708,hiago,(99)981937429
385,,113,666,U.B.S. JOÃO DA COSTA LIMA,00789-01,,40 DO BIS,S/N,,QUADRO,65365000,(98)981258709,(  ),FERNANDUUH_FLEYDSON@HOTMAIL.COM,20210523085137,yago,20190116112316,carliane,(  )
455,,0,564,U.B.S. ROMOALDO NUNES DE ALMEIDA,00859-01,3524043,POV. MANDACARU,00,,Z. RURAL,65645000,(99)988369246,(  ),,20220114111810,yago,20190215104152,hiago,(99)988369246
457,,0,564,U.B.S. MARIA JOSE DOS ANJOS,00861-01,3523950,POV. UNICO,00,,Z. RURAL,65645000,(99)988487858,(  ),,20220114111834,yago,20190215110543,hiago,(  )
453,,0,564,U.B.S. CARMOSINHA COUTINHO,00857-01,,POV. PEDREIRAS,00,,Z. RURAL,65645000,(  ),(  ),,20220114111904,yago,20190215103353,hiago,(  )
436,,0,651,U.B.S. TASSO FRAGOSO / SEDE,00839-01,,R. DO BARBOSO,S/N,,CENTRO,65820000,(99)982680725,(  ),,20220407075854,yago,20190131132958,hiago,(99)982128612
218,,113,589,HOSP. MUN. JESUS DE NAZARÉ,00159-01,2454947,SATURNINO BELO,S/N,,CENTRO,65213000,(98)984608616,(  ),,20220805103304,yago,20170908095401,Implantação,(98)984608616
427,,36,635,U.M. SÃO BERNARDO,00089-01,,TIRADENTES,S/N,,SAO BERNARDO,65055000,(98)32122804,(  ),,20220824083214,yago,20190129081848,carliane,(  )
431,,0,550,U.B.S. VER. JOSE ROCHEL ARAUJO,00835-01,,R. PRINCIPAL,S/N,,POV. SANTA MARIA,65705000,(99)996410056,(  ),LINDEANEALVES@HOTMAIL.COM,20230420085711,yago,20190131124608,hiago,(99)999850163
432,,0,451,U.B.S. RAIMUNDO DE MELO DUQUE BACELAR,00836-01,,POV. LOIOLA,S/N,,Z. RURAL,65505000,(86)998265879,(  ),EDNOCN@GMAIL.COM,20230802082711,yago,20190131125833,hiago,(  )
638,,0,516,U.B.S. SÃO JOSE,01053-01,,AV. SÃO JOSE,00,,CENTRO ,65620000,(89)999826576,(  ),MONITORAMENTOAPS2021@GMAIL.COM,20231002081307,yago,20190314080647,hiago,(  )
441,,0,526,U.B.S. RAIMUNDO BARBOSA DE SOUSA,00845-01,2461927,R. ANTONIO FIALHO FILHO,S/N,,CENTRO,65770000,(  ),(  ),,20241028160013,thalyta,20190215085550,hiago,(  )
434,,0,547,U.B.S. DE SODRELANDIA,00838-01,,R. DO COMERCIO ,S/N,,CENTRO,65294000,(98)984249324,(  ),SECRETARIADESAUDEJUNCOMA@HOTMAIL.COM,20241122120303,yago,20190131130914,hiago,(98)984249324
458,,0,564,U.B.S. MARCILENE CARVALHO DE SOUSA,00862-01,3523977,POV. SANTA LUZIA,00,,Z. RURAL,65645000,(99)988042230,(  ),,20190215110856,hiago,20190215110856,hiago,(99)988042230
459,,0,564,U.B.S. FRANCISCO IZAEL PEREIRA BAZAR JR.,00863-01,,R. PRINCIPAL,00,,CENTRO,65645000,(89)994099899,(  ),,20190215111107,hiago,20190215111107,hiago,(99)988598072
460,,0,564,U.B.S. PEDRO ALVES PINHEIROS,00864-01,,AV. SARNEY,00,,TAIOBA,65645000,(99)984350324,(  ),,20190215111531,hiago,20190215111531,hiago,(99)996512771
468,,0,558,U.B.S. VAZANTINHA,00872-01,,POV. BACURI,00,,Z. RURAL,65560000,(  ),(  ),,20190215115155,hiago,20190215115155,hiago,(  )
469,,0,558,U.B.S. SANTA MARIA,00873-01,,POV. SANTA MARIA,00,,Z. RURAL,65560000,(  ),(  ),,20190215115300,hiago,20190215115300,hiago,(  )
470,,0,558,U.B.S. FRANCISCO DE ASSIS CARVALHO,00874-01,,POV. CURRALINHO,00,,Z. RURAL,65560000,(  ),(  ),,20190215115614,hiago,20190215115407,hiago,(  )
471,,0,558,U.B.S. JOANA TOTE,00875-01,,R. FRANCISCO FLORIDO,00,,CENTRO,65560000,(  ),(  ),,20190215115721,hiago,20190215115721,hiago,(  )
472,,0,558,U.B.S. LIDIA FERNANDES DA ROCHA,00876-01,,POV. TRINCHEIRAS,00,,Z. RURAL,65560000,(  ),(  ),,20190215115820,hiago,20190215115820,hiago,(  )
473,,0,558,U.B.S. MUNDOCA FREITAS,00877-01,,VILA NETO CARVALHO,00,,CENTRO,65560000,(  ),(  ),,20190215115927,hiago,20190215115927,hiago,(  )
474,,0,558,U.B.S. TERESINHA SPINDOLA VIEIRA,00878-01,,POV. MELANCIAS,00,,Z. RURAL,65560000,(  ),(  ),,20190215120300,hiago,20190215120300,hiago,(  )
475,,124,501,U.B.S. ANTENOR VIANA ,00879-01,5378796,R. MARANHÃO,00,,ANTENOR VIANA,65606450,(  ),(  ),,20190218115635,hiago,20190218115635,hiago,(  )
476,,0,501,U.B.S. BREJINHO,00880-01,2453770,BR. 316,00,,POV. BREJINHO,65600000,(  ),(  ),,20190218115826,hiago,20190218115826,hiago,(  )
477,,113,501,U.B.S. BOM JESUS,00881-01,2454068,Bom Jesus dos Passos,,,Caldeirões,65608360,(  ),(  ),,20190218115936,hiago,20190218115936,hiago,(  )
478,,36,501,U.B.S. CENTRO,00882-01,2454041,Getúlio Vargas,,,Centro,65608140,(  ),(  ),,20190218120113,hiago,20190218120113,hiago,(  )
479,,36,501,U.B.S. CAMPO DE BELEM,00883-01,7926871,Doutor Walter Brito,,,Campo de Belém,65609070,(  ),(  ),,20190218120206,hiago,20190218120206,hiago,(  )
480,,113,501,U.B.S. CAGALHEIRO,00884-01,2454025,do Fio,3,,Cangalheiro,65606250,(  ),(  ),,20190218120311,hiago,20190218120311,hiago,(  )
481,,6,501,U.B.S. CASTELO BRANCO,00885-01,2453800,Bela Vista,,,Castelo Branco,65604180,(  ),(  ),,20190218120406,hiago,20190218120406,hiago,(  )
483,,113,501,U.B.S. FAZENDINHA,00887-01,5378818,São José,,,Fazendinha,65608600,(  ),(  ),,20190218120619,hiago,20190218120619,hiago,(  )
484,,113,501,U.B.S. LUIZA QUEIROZ,00888-01,9004580,Nossa Senhora das Graças,,,Luiza Queiroz,65607719,(  ),(  ),,20190218120706,hiago,20190218120706,hiago,(  )
485,,113,501,U.B.S. PIRAJA,00889-01,6304761,Belo Horizonte,,Vila DNER,PIRAJA,65608715,(  ),(  ),,20190218120931,hiago,20190218120931,hiago,(  )
486,,113,501,U.B.S. PONTE,00890-01,2453834,dos Prazeres,101,,Ponte,65609640,(  ),(  ),,20190218121036,hiago,20190218121036,hiago,(  )
